year,parent_category_sv,parent_category_en,sub_category_sv,sub_category_en,granted_count
2005,Arbetsmarknad,Labour market (total),,,5985
2006,Arbetsmarknad,Labour market (total),,,6257
2007,Arbetsmarknad,Labour market (total),,,9859
2008,Arbetsmarknad,Labour market (total),,,14513
2009,Arbetsmarknad,Labour market (total),,,17954
2010,Arbetsmarknad,Labour market (total),,,16373
2011,Arbetsmarknad,Labour market (total),,,17877
2012,Arbetsmarknad,Labour market (total),,,19936
2013,Arbetsmarknad,Labour market (total),,,19292
2014,Arbetsmarknad,Labour market (total),,,15872
2015,Arbetsmarknad,Labour market (total),,,16975
2005,Arbetsmarknad,Labour market (total),varav arbetstagare,of which: employees (work permit holders),3135
2006,Arbetsmarknad,Labour market (total),varav arbetstagare,of which: employees (work permit holders),3567
2007,Arbetsmarknad,Labour market (total),varav arbetstagare,of which: employees (work permit holders),4829
2008,Arbetsmarknad,Labour market (total),varav arbetstagare,of which: employees (work permit holders),7508
2009,Arbetsmarknad,Labour market (total),varav arbetstagare,of which: employees (work permit holders),14905
2010,Arbetsmarknad,Labour market (total),varav arbetstagare,of which: employees (work permit holders),14001
2011,Arbetsmarknad,Labour market (total),varav arbetstagare,of which: employees (work permit holders),15158
2012,Arbetsmarknad,Labour market (total),varav arbetstagare,of which: employees (work permit holders),17011
2013,Arbetsmarknad,Labour market (total),varav arbetstagare,of which: employees (work permit holders),15974
2014,Arbetsmarknad,Labour market (total),varav arbetstagare,of which: employees (work permit holders),12521
2015,Arbetsmarknad,Labour market (total),varav arbetstagare,of which: employees (work permit holders),13789
2005,Arbetsmarknad,Labour market (total),varav gästforskare EU-direktiv,of which: guest researchers (EU directive),341
2006,Arbetsmarknad,Labour market (total),varav gästforskare EU-direktiv,of which: guest researchers (EU directive),377
2007,Arbetsmarknad,Labour market (total),varav gästforskare EU-direktiv,of which: guest researchers (EU directive),396
2008,Arbetsmarknad,Labour market (total),varav gästforskare EU-direktiv,of which: guest researchers (EU directive),613
2009,Arbetsmarknad,Labour market (total),varav gästforskare EU-direktiv,of which: guest researchers (EU directive),933
2010,Arbetsmarknad,Labour market (total),varav gästforskare EU-direktiv,of which: guest researchers (EU directive),883
2011,Arbetsmarknad,Labour market (total),varav gästforskare EU-direktiv,of which: guest researchers (EU directive),870
2012,Arbetsmarknad,Labour market (total),varav gästforskare EU-direktiv,of which: guest researchers (EU directive),1219
2013,Arbetsmarknad,Labour market (total),varav gästforskare EU-direktiv,of which: guest researchers (EU directive),1129
2014,Arbetsmarknad,Labour market (total),varav gästforskare EU-direktiv,of which: guest researchers (EU directive),1126
2015,Arbetsmarknad,Labour market (total),varav gästforskare EU-direktiv,of which: guest researchers (EU directive),1083
2005,Arbetsmarknad,Labour market (total),varav säsongsarbetstillstånd,of which: seasonal work permits,496
2006,Arbetsmarknad,Labour market (total),varav säsongsarbetstillstånd,of which: seasonal work permits,70
2007,Arbetsmarknad,Labour market (total),varav säsongsarbetstillstånd,of which: seasonal work permits,2358
2008,Arbetsmarknad,Labour market (total),varav säsongsarbetstillstånd,of which: seasonal work permits,3747
2012,Arbetsmarknad,Labour market (total),varav säsongsarbetstillstånd,of which: seasonal work permits,2
2005,Arbetsmarknad,Labour market (total),varav praktikanter/ au pair,of which: trainees / au pair,609
2006,Arbetsmarknad,Labour market (total),varav praktikanter/ au pair,of which: trainees / au pair,592
2007,Arbetsmarknad,Labour market (total),varav praktikanter/ au pair,of which: trainees / au pair,587
2008,Arbetsmarknad,Labour market (total),varav praktikanter/ au pair,of which: trainees / au pair,653
2009,Arbetsmarknad,Labour market (total),varav praktikanter/ au pair,of which: trainees / au pair,650
2010,Arbetsmarknad,Labour market (total),varav praktikanter/ au pair,of which: trainees / au pair,493
2011,Arbetsmarknad,Labour market (total),varav praktikanter/ au pair,of which: trainees / au pair,390
2012,Arbetsmarknad,Labour market (total),varav praktikanter/ au pair,of which: trainees / au pair,456
2013,Arbetsmarknad,Labour market (total),varav praktikanter/ au pair,of which: trainees / au pair,438
2014,Arbetsmarknad,Labour market (total),varav praktikanter/ au pair,of which: trainees / au pair,493
2015,Arbetsmarknad,Labour market (total),varav praktikanter/ au pair,of which: trainees / au pair,467
2005,Arbetsmarknad,Labour market (total),varav övriga,of which: other,1404
2006,Arbetsmarknad,Labour market (total),varav övriga,of which: other,1651
2007,Arbetsmarknad,Labour market (total),varav övriga,of which: other,1689
2008,Arbetsmarknad,Labour market (total),varav övriga,of which: other,1992
2009,Arbetsmarknad,Labour market (total),varav övriga,of which: other,1466
2010,Arbetsmarknad,Labour market (total),varav övriga,of which: other,996
2011,Arbetsmarknad,Labour market (total),varav övriga,of which: other,1459
2012,Arbetsmarknad,Labour market (total),varav övriga,of which: other,1250
2013,Arbetsmarknad,Labour market (total),varav övriga,of which: other,1751
2014,Arbetsmarknad,Labour market (total),varav övriga,of which: other,1732
2015,Arbetsmarknad,Labour market (total),varav övriga,of which: other,1636
2005,Studerande,Students,,,6837
2006,Studerande,Students,,,7331
2007,Studerande,Students,,,8920
2008,Studerande,Students,,,11186
2009,Studerande,Students,,,13487
2010,Studerande,Students,,,14188
2011,Studerande,Students,,,6836
2012,Studerande,Students,,,7092
2013,Studerande,Students,,,7559
2014,Studerande,Students,,,9267
2015,Studerande,Students,,,9410
2012,Studerande,Students,varav doktorander,of which: doctoral students,811
2013,Studerande,Students,varav doktorander,of which: doctoral students,979
2014,Studerande,Students,varav doktorander,of which: doctoral students,1247
2015,Studerande,Students,varav doktorander,of which: doctoral students,1202
2014,Studerande,Students,varav arbetssökande student,of which: job-seeking students,122
2015,Studerande,Students,varav arbetssökande student,of which: job-seeking students,334
2005,EU/EES,EU/EEA,,,18069
2006,EU/EES,EU/EEA,,,20461
2007,EU/EES,EU/EEA,,,19387
2008,EU/EES,EU/EEA,,,19398
2009,EU/EES,EU/EEA,,,17606
2010,EU/EES,EU/EEA,,,18480
2011,EU/EES,EU/EEA,,,23226
2012,EU/EES,EU/EEA,,,25501
2013,EU/EES,EU/EEA,,,20712
2014,EU/EES,EU/EEA,,,7394
2015,EU/EES,EU/EEA,,,2791
2005,Arbetstagare,Employees,,,7414
2006,Arbetstagare,Employees,,,9020
2007,Arbetstagare,Employees,,,8189
2008,Arbetstagare,Employees,,,7881
2009,Arbetstagare,Employees,,,5857
2010,Arbetstagare,Employees,,,6984
2011,Arbetstagare,Employees,,,9309
2012,Arbetstagare,Employees,,,9610
2013,Arbetstagare,Employees,,,7850
2014,Arbetstagare,Employees,,,2489
2005,Egna företagare,Self-employed,,,1257
2006,Egna företagare,Self-employed,,,1144
2007,Egna företagare,Self-employed,,,695
2008,Egna företagare,Self-employed,,,488
2009,Egna företagare,Self-employed,,,418
2010,Egna företagare,Self-employed,,,522
2011,Egna företagare,Self-employed,,,617
2012,Egna företagare,Self-employed,,,511
2013,Egna företagare,Self-employed,,,323
2014,Egna företagare,Self-employed,,,81
2005,Anhöriga,Family members,,,4736
2006,Anhöriga,Family members,,,5679
2007,Anhöriga,Family members,,,6350
2008,Anhöriga,Family members,,,6748
2009,Anhöriga,Family members,,,6562
2010,Anhöriga,Family members,,,6032
2011,Anhöriga,Family members,,,7700
2012,Anhöriga,Family members,,,7310
2013,Anhöriga,Family members,,,5489
2014,Anhöriga,Family members,,,2109
2015,Anhöriga,Family members,,,967
2005,Studerande,Students,,,3986
2006,Studerande,Students,,,3489
2007,Studerande,Students,,,2825
2008,Studerande,Students,,,2953
2009,Studerande,Students,,,3230
2010,Studerande,Students,,,3365
2011,Studerande,Students,,,3511
2012,Studerande,Students,,,5911
2013,Studerande,Students,,,4889
2014,Studerande,Students,,,955
2006,Tredjelandsmedborgare varaktigt bosatta i annat EU-land,Long-term third-country residents in other EU country,,,263
2007,Tredjelandsmedborgare varaktigt bosatta i annat EU-land,Long-term third-country residents in other EU country,,,322
2008,Tredjelandsmedborgare varaktigt bosatta i annat EU-land,Long-term third-country residents in other EU country,,,303
2009,Tredjelandsmedborgare varaktigt bosatta i annat EU-land,Long-term third-country residents in other EU country,,,393
2010,Tredjelandsmedborgare varaktigt bosatta i annat EU-land,Long-term third-country residents in other EU country,,,450
2011,Tredjelandsmedborgare varaktigt bosatta i annat EU-land,Long-term third-country residents in other EU country,,,746
2012,Tredjelandsmedborgare varaktigt bosatta i annat EU-land,Long-term third-country residents in other EU country,,,937
2013,Tredjelandsmedborgare varaktigt bosatta i annat EU-land,Long-term third-country residents in other EU country,,,1295
2014,Tredjelandsmedborgare varaktigt bosatta i annat EU-land,Long-term third-country residents in other EU country,,,1562
2015,Tredjelandsmedborgare varaktigt bosatta i annat EU-land,Long-term third-country residents in other EU country,,,1824
2005,Tillräckliga medel,Sufficient means (e.g. pensioners),,,676
2006,Tillräckliga medel,Sufficient means (e.g. pensioners),,,866
2007,Tillräckliga medel,Sufficient means (e.g. pensioners),,,1006
2008,Tillräckliga medel,Sufficient means (e.g. pensioners),,,1025
2009,Tillräckliga medel,Sufficient means (e.g. pensioners),,,1146
2010,Tillräckliga medel,Sufficient means (e.g. pensioners),,,1127
2011,Tillräckliga medel,Sufficient means (e.g. pensioners),,,1343
2012,Tillräckliga medel,Sufficient means (e.g. pensioners),,,1222
2013,Tillräckliga medel,Sufficient means (e.g. pensioners),,,866
2014,Tillräckliga medel,Sufficient means (e.g. pensioners),,,198
2005,Anknytningar,Family ties (total),,,22713
2006,Anknytningar,Family ties (total),,,27291
2007,Anknytningar,Family ties (total),,,29515
2008,Anknytningar,Family ties (total),,,33687
2009,Anknytningar,Family ties (total),,,38332
2010,Anknytningar,Family ties (total),,,30287
2011,Anknytningar,Family ties (total),,,32469
2012,Anknytningar,Family ties (total),,,41156
2013,Anknytningar,Family ties (total),,,40026
2014,Anknytningar,Family ties (total),,,42435
2015,Anknytningar,Family ties (total),,,43414
2005,Anhöriga,Family members,,,19904
2006,Anhöriga,Family members,,,22869
2007,Anhöriga,Family members,,,21284
2008,Anhöriga,Family members,,,22519
2009,Anhöriga,Family members,,,24809
2010,Anhöriga,Family members,,,21460
2011,Anhöriga,Family members,,,20835
2012,Anhöriga,Family members,,,22682
2013,Anhöriga,Family members,,,18541
2014,Anhöriga,Family members,,,18079
2015,Anhöriga,Family members,,,15637
2005,Flyktinganhöriga,Family of refugees,,,2004
2006,Flyktinganhöriga,Family of refugees,,,3799
2007,Flyktinganhöriga,Family of refugees,,,7691
2008,Flyktinganhöriga,Family of refugees,,,10665
2009,Flyktinganhöriga,Family of refugees,,,9273
2010,Flyktinganhöriga,Family of refugees,,,3166
2011,Flyktinganhöriga,Family of refugees,,,3037
2012,Flyktinganhöriga,Family of refugees,,,7897
2013,Flyktinganhöriga,Family of refugees,,,10673
2014,Flyktinganhöriga,Family of refugees,,,13100
2015,Flyktinganhöriga,Family of refugees,,,16251
2009,"Anhöriga till arbetstagare,egna företagare och gästforskare","Family of workers, self-employed and researchers",,,3628
2010,"Anhöriga till arbetstagare,egna företagare och gästforskare","Family of workers, self-employed and researchers",,,5211
2011,"Anhöriga till arbetstagare,egna företagare och gästforskare","Family of workers, self-employed and researchers",,,8242
2012,"Anhöriga till arbetstagare,egna företagare och gästforskare","Family of workers, self-employed and researchers",,,9679
2013,"Anhöriga till arbetstagare,egna företagare och gästforskare","Family of workers, self-employed and researchers",,,9625
2014,"Anhöriga till arbetstagare,egna företagare och gästforskare","Family of workers, self-employed and researchers",,,9698
2015,"Anhöriga till arbetstagare,egna företagare och gästforskare","Family of workers, self-employed and researchers",,,10023
2012,Anhöriga till studerande,Family of students,,,615
2013,Anhöriga till studerande,Family of students,,,944
2014,Anhöriga till studerande,Family of students,,,1337
2015,Anhöriga till studerande,Family of students,,,1348
2005,Adoptivbarn,Adopted children,,,805
2006,Adoptivbarn,Adopted children,,,623
2007,Adoptivbarn,Adopted children,,,540
2008,Adoptivbarn,Adopted children,,,503
2009,Adoptivbarn,Adopted children,,,622
2010,Adoptivbarn,Adopted children,,,450
2011,Adoptivbarn,Adopted children,,,355
2012,Adoptivbarn,Adopted children,,,283
2013,Adoptivbarn,Adopted children,,,243
2014,Adoptivbarn,Adopted children,,,221
2015,Adoptivbarn,Adopted children,,,155
2005,Flyktingar m.fl,Refugees etc. (total),,,8859
2006,Flyktingar m.fl,Refugees etc. (total),,,25096
2007,Flyktingar m.fl,Refugees etc. (total),,,18414
2008,Flyktingar m.fl,Refugees etc. (total),,,11237
2009,Flyktingar m.fl,Refugees etc. (total),,,11265
2010,Flyktingar m.fl,Refugees etc. (total),,,12130
2011,Flyktingar m.fl,Refugees etc. (total),,,12726
2012,Flyktingar m.fl,Refugees etc. (total),,,17405
2013,Flyktingar m.fl,Refugees etc. (total),,,28998
2014,Flyktingar m.fl,Refugees etc. (total),,,35642
2015,Flyktingar m.fl,Refugees etc. (total),,,36645
2005,Konventionsflyktingar,Convention refugees,,,790
2006,Konventionsflyktingar,Convention refugees,,,963
2007,Konventionsflyktingar,Convention refugees,,,1113
2008,Konventionsflyktingar,Convention refugees,,,1934
2009,Konventionsflyktingar,Convention refugees,,,1824
2010,Konventionsflyktingar,Convention refugees,,,2304
2011,Konventionsflyktingar,Convention refugees,,,2870
2012,Konventionsflyktingar,Convention refugees,,,4617
2013,Konventionsflyktingar,Convention refugees,,,7646
2014,Konventionsflyktingar,Convention refugees,,,11341
2015,Konventionsflyktingar,Convention refugees,,,13552
2005,Skyddsbehövande,Persons in need of protection,,,1174
2006,Skyddsbehövande,Persons in need of protection,,,3728
2007,Skyddsbehövande,Persons in need of protection,,,10208
2008,Skyddsbehövande,Persons in need of protection,,,5278
2009,Skyddsbehövande,Persons in need of protection,,,6164
2010,Skyddsbehövande,Persons in need of protection,,,6814
2011,Skyddsbehövande,Persons in need of protection,,,6148
2012,Skyddsbehövande,Persons in need of protection,,,9095
2013,Skyddsbehövande,Persons in need of protection,,,17227
2014,Skyddsbehövande,Persons in need of protection,,,20023
2015,Skyddsbehövande,Persons in need of protection,,,18690
2005,Särskilt ömmande omständigheter,Particularly distressing circumstances,,,2487
2006,Särskilt ömmande omständigheter,Particularly distressing circumstances,,,3657
2007,Särskilt ömmande omständigheter,Particularly distressing circumstances,,,3938
2008,Särskilt ömmande omständigheter,Particularly distressing circumstances,,,1571
2009,Särskilt ömmande omständigheter,Particularly distressing circumstances,,,995
2010,Särskilt ömmande omständigheter,Particularly distressing circumstances,,,860
2011,Särskilt ömmande omständigheter,Particularly distressing circumstances,,,1345
2012,Särskilt ömmande omständigheter,Particularly distressing circumstances,,,1328
2013,Särskilt ömmande omständigheter,Particularly distressing circumstances,,,1378
2014,Särskilt ömmande omständigheter,Particularly distressing circumstances,,,1685
2015,Särskilt ömmande omständigheter,Particularly distressing circumstances,,,1588
2005,Kvotflyktingar,Quota refugees,,,1263
2006,Kvotflyktingar,Quota refugees,,,1626
2007,Kvotflyktingar,Quota refugees,,,1845
2008,Kvotflyktingar,Quota refugees,,,2209
2009,Kvotflyktingar,Quota refugees,,,1936
2010,Kvotflyktingar,Quota refugees,,,1786
2011,Kvotflyktingar,Quota refugees,,,1896
2012,Kvotflyktingar,Quota refugees,,,1853
2013,Kvotflyktingar,Quota refugees,,,2187
2014,Kvotflyktingar,Quota refugees,,,1971
2015,Kvotflyktingar,Quota refugees,,,1880
2005,Tillstånd enligt tillfällig lag,Permits under temporary law,,,2510
2006,Tillstånd enligt tillfällig lag,Permits under temporary law,,,14823
2005,Övriga tillstånd,Other permits,,,635
2006,Övriga tillstånd,Other permits,,,299
2007,Övriga tillstånd,Other permits,,,1310
2008,Övriga tillstånd,Other permits,,,245
2009,Övriga tillstånd,Other permits,,,346
2010,Övriga tillstånd,Other permits,,,366
2011,Övriga tillstånd,Other permits,,,467
2012,Övriga tillstånd,Other permits,,,512
2013,Övriga tillstånd,Other permits,,,560
2014,Övriga tillstånd,Other permits,,,622
2015,Övriga tillstånd,Other permits,,,935
2005,Totalt,Total,,,62463
2006,Totalt,Total,,,86436
2007,Totalt,Total,,,86095
2008,Totalt,Total,,,90021
2009,Totalt,Total,,,98644
2010,Totalt,Total,,,91458
2011,Totalt,Total,,,93134
2012,Totalt,Total,,,111090
2013,Totalt,Total,,,116587
2014,Totalt,Total,,,110610
2015,Totalt,Total,,,109235
