year,number_applications_received,number_decisions_made,number_granted_applications,number_rejected_applications,approval_rate,rejection_rate,source_page,notes
2001,,,,,,,arsredovisning_2001.pdf#7,"Pre-2008 reform; 2001 own report (Tabell 1) gives 'varav arbetsmarknadsärenden 13,393' under förstagångs avgjorda (sökts vid ambassad). Total Arbetsmarknadsärenden inkomna/avgjorda not separately published; not comparable to later years."
2002,18761,20068,16732,3336,0.8338,0.1662,arsredovisning_2002.pdf#23,"granted = published total beviljade (arsredovisning_2004.pdf p41 Tabell 27) = 16732 | rejected = decisions - granted = 20068 - 16732 = 3336 | approval_rate = granted / decisions = 16732/20068 = 0.8338 | rejection_rate = 1 - approval_rate = 0.1662 | Pre-2008 reform: 2002 own report Tabell 9 gives 'varav arbetsmarknadsärenden 14,700' under förstagångs avgjorda. Total inkomna/avgjorda and extension breakdown from arsredovisning_2004.pdf p41 Tabell 27. Total beviljade 2002=16,732; total bifall 16732/20068 = 83.4% computed in build step."
2003,18477,19490,16034,3456,0.8227,0.1773,arsredovisning_2003.pdf#31,"granted = published total beviljade (arsredovisning_2004.pdf p41 Tabell 27) = 16034 | rejected = decisions - granted = 19490 - 16034 = 3456 | approval_rate = granted / decisions = 16034/19490 = 0.8227 | rejection_rate = 1 - approval_rate = 0.1773 | Pre-2008 reform: 2003 own report Tabell 17 gives 'varav arbetsmarknadsärenden 13,411' under förstagångs avgjorda. Total inkomna/avgjorda and extension breakdown from arsredovisning_2004.pdf p41 Tabell 27. Total beviljade 2003=16,034; total bifall 16034/19490 = 82.3% computed in build step."
2004,13561,14132,11992,2140,0.8486,0.1514,arsredovisning_2004.pdf#41,granted = published total beviljade (arsredovisning_2004.pdf p41 Tabell 27) = 11992 | rejected = decisions - granted = 14132 - 11992 = 2140 | approval_rate = granted / decisions = 11992/14132 = 0.8486 | rejection_rate = 1 - approval_rate = 0.1514 | Pre-2008 reform: first-time = total-extension (inkomna 13561-3941=9620; avgjorda 14132-4134=9998). Total beviljade=11992; total bifall = 11992/14132 = 84.9% computed in build step. Per-type bifall not published.
2005,11888,11744,,,,,arsredovisning_2005.pdf#23,Pre-2008 reform; narrow Arbetstillstånd category.
2006,11967,12077,,,,,arsredovisning_2006.pdf#25,"Pre-2008 reform; narrow Arbetstillstånd category, no first-time/extension split. 2008 report lists 2006 beviljade=7102 (bifall ~59% of 12077)."
2007,14371,13454,,,,,arsredovisning_2007.pdf#45,"Pre-2008 reform: 'Arbetstillståndsärenden' refers to a narrower work-permit category (no first-time/extension split published in own report). 2008 beviljade column gives 2006/2007/2008 = 7102/8632/11032; 2007 bifall ≈ 8632/13454 = 64% if applied to total, but interpretation differs from post-2010 'Arbetsmarknadsärenden'."
2008,17457,17606,,,,,arsredovisning_2008.pdf#52,"first-time inkomna from p53 prose (12,794); förlängning inkomna=4,663 and avgjorda=4,711 from p61 prose; first-time beviljade=11,032 from 2010 Fig 40; first-time bifall computed as 11032/12895. Labour migration reform of 15 Dec 2008 fundamentally widened scope after this year."
2009,22438,21399,,,,,arsredovisning_2009.pdf#55,"first-time inkomna/avgjorda from arsredovisning_2010.pdf p52 Figure 40 (own report does not split). first-time beviljade=13877 (2010 Fig 40), bifall computed."
2010,32575,28638,,,,,arsredovisning_2010.pdf#51,"first-time inkomna/avgjorda/beviljade from Figure 40 p52 (beviljade=20777); first-time bifall computed as 20777/23357. Extension figures derivable as totals minus first-time (inkomna ~6229, avgjorda ~5281) but not published, so left blank."
2011,46334,39319,,,,,arsredovisning_2011.pdf#51,own report gives only Arbetsmarknadsärenden totals. Prose: ~77% of decisions were förstagångs but bifallsandel only stated for narrow sub-categories.
2012,49327,49257,,,,,arsredovisning_2012.pdf#66,"own report gives only Arbetsmarknadsärenden totals. Prose states ~35,000 förstagångs for arbetstagare (workers only, excluding anhöriga) so a full first-time/extension split cannot be reconstructed."
2013,56703,53022,,,,,arsredovisning_2013.pdf#92,first-time/extension split sourced from arsredovisning_2015.pdf p69 Figure 74 (2013 own report only gives totals). bifallsandel not separately published for the broad category in either year.
2014,52525,51813,41515,10298,0.8012,0.1988,arsredovisning_2014.pdf#116,granted = first-time granted + extension granted = 24634 + 16881 = 41515 | rejected = decisions - granted = 51813 - 41515 = 10298 | approval_rate = granted / decisions = 41515/51813 = 0.8012 | rejection_rate = 1 - approval_rate = 0.1988 | first-time/extension split and bifallsandel sourced from arsredovisning_2016.pdf p56 Figure 68 (2014 own report only gives totals)
2015,58721,54322,43052,11270,0.7925,0.2075,arsredovisning_2015.pdf#69,granted = first-time granted + extension granted = 26120 + 16932 = 43052 | rejected = decisions - granted = 54322 - 43052 = 11270 | approval_rate = granted / decisions = 43052/54322 = 0.7925 | rejection_rate = 1 - approval_rate = 0.2075 | bifallsandel sourced from arsredovisning_2016.pdf p56 Figure 68 (the 2015 own report omits bifallsandel in its main labour-market table)
2016,53343,47184,37039,10145,0.785,0.215,arsredovisning_2016.pdf#56,granted = first-time granted + extension granted = 24129 + 12910 = 37039 | rejected = decisions - granted = 47184 - 37039 = 10145 | approval_rate = granted / decisions = 37039/47184 = 0.785 | rejection_rate = 1 - approval_rate = 0.215
2017,58734,67983,51779,16204,0.7616,0.2384,arsredovisning_2017.pdf#69,granted = first-time granted + extension granted = 31191 + 20588 = 51779 | rejected = decisions - granted = 67983 - 51779 = 16204 | approval_rate = granted / decisions = 51779/67983 = 0.7616 | rejection_rate = 1 - approval_rate = 0.2384
2018,72828,78656,63800,14856,0.8111,0.1889,arsredovisning_2018.pdf#100,granted = first-time granted + extension granted = 40135 + 23665 = 63800 | rejected = decisions - granted = 78656 - 63800 = 14856 | approval_rate = granted / decisions = 63800/78656 = 0.8111 | rejection_rate = 1 - approval_rate = 0.1889
2019,91197,82755,68319,14436,0.8256,0.1744,arsredovisning_2019.pdf#92,granted = first-time granted + extension granted = 42038 + 26281 = 68319 | rejected = decisions - granted = 82755 - 68319 = 14436 | approval_rate = granted / decisions = 68319/82755 = 0.8256 | rejection_rate = 1 - approval_rate = 0.1744
2020,84960,79467,61125,18342,0.7692,0.2308,arsredovisning_2020.pdf#66,granted = first-time granted + extension granted = 31089 + 30036 = 61125 | rejected = decisions - granted = 79467 - 61125 = 18342 | approval_rate = granted / decisions = 61125/79467 = 0.7692 | rejection_rate = 1 - approval_rate = 0.2308
2021,95866,84714,66971,17743,0.7906,0.2094,arsredovisning_2021.pdf#68,granted = first-time granted + extension granted = 38438 + 28533 = 66971 | rejected = decisions - granted = 84714 - 66971 = 17743 | approval_rate = granted / decisions = 66971/84714 = 0.7906 | rejection_rate = 1 - approval_rate = 0.2094
2022,104091,88917,66791,22126,0.7512,0.2488,arsredovisning_2022.pdf#71,granted = first-time granted + extension granted = 40506 + 26285 = 66791 | rejected = decisions - granted = 88917 - 66791 = 22126 | approval_rate = granted / decisions = 66791/88917 = 0.7512 | rejection_rate = 1 - approval_rate = 0.2488
2023,91575,108961,81014,27947,0.7435,0.2565,arsredovisning_2023.pdf#67,granted = first-time granted + extension granted = 34768 + 46246 = 81014 | rejected = decisions - granted = 108961 - 81014 = 27947 | approval_rate = granted / decisions = 81014/108961 = 0.7435 | rejection_rate = 1 - approval_rate = 0.2565
2024,79592,91331,63412,27919,0.6943,0.3057,arsredovisning_2024.pdf#76,granted = first-time granted + extension granted = 24344 + 39068 = 63412 | rejected = decisions - granted = 91331 - 63412 = 27919 | approval_rate = granted / decisions = 63412/91331 = 0.6943 | rejection_rate = 1 - approval_rate = 0.3057
2025,72638,84025,58851,25174,0.7004,0.2996,arsredovisning_2025.pdf#30,granted = first-time granted + extension granted = 22064 + 36787 = 58851 | rejected = decisions - granted = 84025 - 58851 = 25174 | approval_rate = granted / decisions = 58851/84025 = 0.7004 | rejection_rate = 1 - approval_rate = 0.2996
